Security Name	ATR	ATR2	Close	Stop	Ticker Symbol	Location	
SMARTFLEX HOLDINGS LTD	0.0003	0.0007	0.0930	0.0923	5RE	C:\ms\sgx2	
SKY ONE LTD	0.0078	0.0156	0.4100	0.3944	5MM	C:\ms\sgx2	
SKY CHINA PETROLEUM SVCS LTD.	0.0024	0.0048	0.0880	0.0832	W81	C:\ms\sgx2	
SITRA HOLDINGS (INTL) LIMITED	0.0037	0.0075	0.0550	0.0475	5LE	C:\ms\sgx2	
SINWA KS LIMITED	0.0029	0.0058	0.1620	0.1562	5CN	C:\ms\sgx2	
SINOTEL TECHNOLOGIES LTD.	0.0047	0.0093	0.0900	0.0807	D3W	C:\ms\sgx2	
SINOSTAR PEC HOLDINGS LIMITED	0.0015	0.0030	0.1000	0.0970	C9Q	C:\ms\sgx2	
SINOPIPE HOLDINGS LIMITED	0.0000	0.0000	0.1300	0.1300	X06	C:\ms\sgx2	
SINOBEST TECHNOLOGY HLDGS LTD.	0.0005	0.0010	0.1500	0.1490	T80	C:\ms\sgx2	
SINO TECHFIBRE LIMITED	0.0000	0.0000	0.0900	0.0900	AD8	C:\ms\sgx2	
SINO GRANDNESS FOOD IND GP LTD	0.0620	0.1240	1.5350	1.4110	JS5	C:\ms\sgx2	
SINO CONSTRUCTION LIMITED	0.0005	0.0009	0.0220	0.0211	F3V	C:\ms\sgx2	
SINGTEL 100	0.0573	0.1147	3.7600	3.6453	Z78	C:\ms\sgx2	
SINGTEL 10	0.0786	0.1573	3.7500	3.5927	Z77	C:\ms\sgx2	
SINGTEL	0.0914	0.1827	3.7500	3.5673	Z74	C:\ms\sgx2	
SINGHAIYI GROUP	0.0016	0.0032	0.0330	0.0298	5CE	C:\ms\sgx2	
SINGAPURA FINANCE LTD	0.0044	0.0089	1.5450	1.5361	S23	C:\ms\sgx2	
SINGAPORE WINDSOR HOLDINGS LTD	0.0009	0.0018	0.1200	0.1182	Y45	C:\ms\sgx2	
SINGAPORE TECH ENGINEERING LTD	0.0920	0.1839	4.0900	3.9061	S63	C:\ms\sgx2	
SINGAPORE REINSURANCE COR LTD	0.0074	0.0148	0.2600	0.2452	S49	C:\ms\sgx2	
SINGAPORE PRESS HOLDGS LTD	0.0778	0.1557	4.2700	4.1143	T39	C:\ms\sgx2	
SINGAPORE POST LIMITED	0.0285	0.0570	1.3100	1.2530	S08	C:\ms\sgx2	
SINGAPORE MEDICAL GROUP LTD	0.0042	0.0085	0.1000	0.0915	5OT	C:\ms\sgx2	
SINGAPORE LAND	0.1092	0.2184	9.0000	8.7816	S30	C:\ms\sgx2	
SINGAPORE INDEX FUND	0.0068	0.0136	2.1300	2.1164	S45U	C:\ms\sgx2	
SINGAPORE EXCHANGE LIMITED	0.1021	0.2041	7.4000	7.1959	S68	C:\ms\sgx2	
SINGAPORE AIRLINES LTD 200	0.0963	0.1927	10.6800	10.4873	C6U	C:\ms\sgx2	
SINGAPORE AIRLINES LTD	0.1337	0.2675	10.7400	10.4725	C6L	C:\ms\sgx2	
SING INVESTMENTS & FINANCE LTD	0.0084	0.0169	1.3800	1.3631	S35	C:\ms\sgx2	
SING HOLDINGS LIMITED	0.0181	0.0361	0.4700	0.4339	5IC	C:\ms\sgx2	
SINCAP GROUP LIMITED	0.0014	0.0028	0.0800	0.0772	5UN	C:\ms\sgx2	
SINARMAS LAND LIMITED	0.0563	0.1126	0.8400	0.7274	A26	C:\ms\sgx2	
SIN HENG HEAVY MACHINERY LTD	0.0089	0.0179	0.2500	0.2321	KF4	C:\ms\sgx2	
SIN GHEE HUAT CORPORATION LTD.	0.0037	0.0075	0.2750	0.2675	B7K	C:\ms\sgx2	
SIM LIAN GROUP LIMITED	0.0172	0.0345	0.8850	0.8505	S05	C:\ms\sgx2	
SILVERLAKE AXIS LTD	0.0223	0.0445	0.7700	0.7255	5CP	C:\ms\sgx2	
SIA ENGINEERING CO LTD	0.0620	0.1240	5.0700	4.9460	S59	C:\ms\sgx2	
SHENG SIONG GROUP LTD	0.0160	0.0320	0.6650	0.6330	OV8	C:\ms\sgx2	
SHC CAPITAL ASIA LIMITED	0.0023	0.0046	0.1300	0.1254	5UE	C:\ms\sgx2	
SHANGRI-LA ASIA LTD	0.1501	0.3002	14.1200	13.8198	S07	C:\ms\sgx2	
SHANGHAI TURBO ENTERPRISES LTD	0.0007	0.0014	0.0950	0.0936	X27	C:\ms\sgx2	
SHANGHAI ASIA HOLDINGS LIMITED	0.0004	0.0007	0.0960	0.0953	T57	C:\ms\sgx2	
SEROJA INVESTMENT LTD	0.0054	0.0108	0.1510	0.1402	IW5	C:\ms\sgx2	
SERIAL SYSTEM LTD	0.0021	0.0042	0.1270	0.1228	S69	C:\ms\sgx2	
SEMBCORP MARINE LTD	0.0815	0.1629	4.3400	4.1771	S51	C:\ms\sgx2	
SEMBCORP INDUSTRIES LTD	0.0722	0.1443	4.8700	4.7257	U96	C:\ms\sgx2	
SELECT CATERING SERVICES LTD	0.0033	0.0066	0.3600	0.3534	5FQ	C:\ms\sgx2	
SEE HUP SENG LIMITED	0.0113	0.0226	0.2900	0.2674	566	C:\ms\sgx2	
SECOND CHANCE PROPERTIES LTD	0.0056	0.0111	0.4350	0.4239	528	C:\ms\sgx2	
SCORPIO EAST HOLDINGS LTD.	0.0077	0.0153	0.0900	0.0747	5HW	C:\ms\sgx2	
